Mating,Outcome,UNC_ID,Oas1b_status,clinical.score.d7,clinical.score.d12,qpcr.fc.spleen.d4,qpcr.fc.spleen.d7,qpcr.fc.spleen.d12,qpcr.fc.brain.d7,qpcr.fc.brain.d12,weight.d12
13067x5306,Asymptomatic,CC(003x062)/F1,Functional+Null,0,0,322.2420473,32.23001975,4.262401631,0.992098939,6.763538241,8.31574504
13140x16680,Symptomatic,CC(001x055)/F1,Null+Null,0,2,134.0123834,7.953309533,4.390005899,3820.526178,112071.1635,-12.03354298
13421x16034,Asymptomatic,CC(007x070)/F1,Null+Functional,0,0,110.1930279,3.178227566,0.829064343,3.671407461,45.38747213,3.46720601
13421x3260,Symptomatic,CC(007x075)/F1,Null+Null,0,2,24.4201505,0.829702875,0.354493953,2.31426712,246.4336458,-9.763476348
15119x16521,Symptomatic,CC(065x072)/F1,Null+Null,0,0,30.24121301,2.45037122,0.720964587,0.754849289,203.6670738,-9.343026387
15155x8054,Asymptomatic,CC(039x020)/F1,Functional+Null,0,0,5.806939514,1.114193757,0.894542645,1.084728144,29.05627283,-1.128093159
15156x1566,Symptomatic,CC(002x021)/F1,Null+Null,0,3,326.0865467,44.79709683,4.239647869,39.76853621,154247.6398,-17.57425743
15156x3252,Symptomatic,CC(002x011)/F1,Null+Null,0,0,178.2249084,5.944958412,2.11330414,2.85534798,4409.130692,-5.924412666
1566x8043,Symptomatic,CC(021x023)/F1,Null+Null,1,0,879.6457835,152.2185331,,287.3061352,,
16012x15119,Symptomatic,CC(059x065)/F1,Null+Null,0,0,86.46902334,10.24844319,0.773484639,102.4106705,2175.468982,-11.75722911
16034x13067,Asymptomatic,CC(070x003)/F1,Functional+Functional,0,0,36.41739601,2.804349647,0.783557542,0.735206827,3.794150322,2.076124567
16072x3393,Symptomatic,CC(037x057)/F1,Null+Null,0,1,132.1164959,24.0542932,0.908323233,662.3473918,3151.887378,-14.57019582
16072x5346,Asymptomatic,CC(037x046)/F1,Null+Functional,0,0,15.25395274,0.465583313,0.739522693,0.530221392,0.545379872,3.453453453
16211x16557,Symptomatic,CC(005x040)/F1,Null+Null,0,0,235.5136138,12.68259044,1.034866467,189.2741247,526.0699451,2.11166786
16211x8049,Asymptomatic,CC(005x038)/F1,Null+Functional,0,0,1.999076525,7.000434486,0.677206159,1583.72985,12.83786335,-7.911001236
16441x8024,Asymptomatic,CC(041x016)/F1,Functional+Null,0,0,213.6179484,1.559169986,1.691665417,0.435241868,6.331533919,6.570199452
16513x15156,Asymptomatic,CC(019x002)/F1,Functional+Null,0,0,12.20443023,5.909805145,1.124538567,1.230480578,50.08207501,-2.360655738
16513x16188,Asymptomatic,CC(019x004)/F1,Functional+Functional,0,0,13.58763898,40.12543284,0.979194263,0.117839036,0.125753235,6.514806378
16513x8027,Asymptomatic,CC(019x027)/F1,Functional+Null,0,0,13.53749084,0.885085398,1.88513296,2.653076957,0.966159496,-0.258397933
16521x3260,Symptomatic,CC(072x075)/F1,Null+Null,0,0,33.45151393,1.143402299,0.629402575,5.210580407,299.0918331,-5.738177624
16521x5391,Symptomatic,CC(072x063)/F1,Null+Null,0,1,41.94551486,1.223582532,2.549514017,0.906820055,71.98707919,-15.17027864
16557x3154,Symptomatic,CC(040x015)/F1,Null+Null,0,0,311.9610624,25.49246502,,81.10828462,,
16680x16750,Symptomatic,CC(055x006)/F1,Null+Null,0,2,162.588515,49.45045484,21.4666729,859.8130757,266.817669,-17.61764706
16680x8016,Symptomatic,CC(055x028)/F1,Null+Functional,0,0,443.5987154,6.077360366,29.33848739,7.991992833,317.585153,-6.591276252
16750x13421,Symptomatic,CC(006x007)/F1,Null+Null,0,2,395.7192423,,4.718154122,146.119001,7548.636117,-17.331813
16750x15155,Asymptomatic,CC(006x039)/F1,Null+Functional,0,0,,0.992328063,,0.52552889,0.925138385,-1.433838591
16768x5035,Symptomatic,CC(068x035)/F1,Null+Null,0,0,17.54784477,4.17569819,3.979062814,970.2561925,2262.269201,-18.42016807
16768x8021,Symptomatic,CC(068x043)/F1,Null+Null,0,0,134.1052745,2.894315084,0.802181079,49.08919931,10.94095951,-4.012036108
16785x5358,Symptomatic,CC(071x058)/F1,Null+Null,0,0,44.0308651,15.27276206,,1501.72798,,
16785x773,Asymptomatic,CC(071x053)/F1,Null+Functional,0,0,161.730161,15.32696283,2.395326517,2.704446698,9.821882251,-0.687702265
16912x5489,Symptomatic,CC(051x009)/F1,Null+Null,0,2,12.65527428,2.384834389,1.449276633,0.935839556,0.954106738,-14.31283219
18018x3460,Symptomatic,CC(010x060)/F1,Null+Null,0,0,56.10598845,0.883638265,0.82097882,263.8414056,480.1751655,-23.70689655
3015x5306,Symptomatic,CC(074x062)/F1,Null+Null,0.5,0,21.95113119,7.322914106,,441.7718863,,
3015x5358,Symptomatic,CC(074x058)/F1,Null+Null,0,0,15.34468099,3.396386339,1.738153505,1.231998401,226.0416719,-6.685690991
3032x16188,Asymptomatic,CC(017x004)/F1,Functional+Functional,0,0,95.48634339,3.696658247,1.397108663,0.942675316,3.106472817,10.00855432
3154x16012,Symptomatic,CC(015x059)/F1,Functional+Null,0,2,126.6857823,6.676073771,0.629378444,27.54825697,8036.397848,-1.716549296
3154x3609,Symptomatic,CC(015x018)/F1,Null+Null,0,1,355.8463914,130.1671725,20.86642022,1618.004673,17604.62709,-13.66487455
3252x8002,Symptomatic,CC(011x032)/F1,Null+Null,0,0,95.27329902,18.84210672,0.874515239,34.47420045,211.3921485,-3.732162459
3260x1566,Symptomatic,CC(075x021)/F1,Null+Null,0,1,70.57082154,2.014686663,0.896818723,5.49453191,41.9678692,1.694915254
3260x5035,Symptomatic,CC(075x035)/F1,Null+Null,0,0,77.9182716,3.134954477,1.285354491,620.0419502,3202.536487,-4.253509145
3393x8052,Symptomatic,CC(057x052)/F1,Null+Null,0,3,101.0163151,8.983153069,13.49689257,229.9042496,19608.91707,-17.71523179
3460x16072,Symptomatic,CC(060x037)/F1,Null+Null,0,0,131.8594801,17.07185631,1.244048297,31.21858902,1827.372688,-17.03204047
3460x16750,Symptomatic,CC(060x006)/F1,Null+Null,1,0,371.5583179,89.00274605,,3166.973973,,
3564x16785,Asymptomatic,CC(029x071)/F1,Functional+Null,0,0,48.31403069,1.682705682,2.020153484,0.786459452,0.694370601,-0.05624297
3564x8027,Asymptomatic,CC(029x027)/F1,Functional+Null,0,0,44.67304776,2.696749739,1.710530888,0.622916594,0.928516899,2.20657277
3609x5119,Symptomatic,CC(018x065)/F1,Null+Null,1,0,69.21440626,4.94929343,2.886634884,254.3491558,2717.274651,-6.535189482
4410x3460,Symptomatic,CC(044x060)/F1,Null+Null,0,1,181.8437533,30.46798782,2.084772108,0.000714886,0.000619475,2.297551789
477x16912,Symptomatic,CC(036x051)/F1,Null+Null,0,0,174.7858341,11.21653352,2.997768564,189.8142042,291.4064097,-12.20845481
5035x16785,Symptomatic,CC(035x071)/F1,Null+Null,0,0,88.13638965,4.556731972,,35783.32828,,
5035x8054,Symptomatic,CC(035x020)/F1,Null+Null,0,1,6.741697735,3.215899233,,1166.303038,,
5306x16521,Symptomatic,CC(062x072)/F1,Null+Null,0,0,73.81285369,11.72794033,1.580079787,25.12991181,2101.446356,-5.435401252
5346x16768,Asymptomatic,CC(046x068)/F1,Functional+Null,0,0,11.022151,5.586285473,1.051902209,1.820358806,1.368357237,2.162595114
5358x8046,Asymptomatic,CC(058x022)/F1,Null+Functional,0,0,114.8282305,19.461566,3.2991889,1.450170426,0.852044189,4.48261416
5391x15156,Symptomatic,CC(063x002)/F1,Null+Null,0,2,163.6723266,53.77184561,,11.99938591,,
5489x16557,Symptomatic,CC(009x040)/F1,Null+Null,0,0,137.4618905,3.268334502,0.928802489,3.39507643,1204.827931,-14.1776408
8002x3032,Asymptomatic,CC(032x017)/F1,Null+Functional,0,1,130.2574366,1.263321825,0.7944955,48.678841,10.87040393,5.069292487
8002x8010,Symptomatic,CC(032x013)/F1,Null+Null,0,2,,6.777092812,1.621754612,194.7003193,40.95275428,3.725910064
8004x8052,Symptomatic,CC(024x052)/F1,Null+Null,0,0,112.2919921,11.81597337,1.901611828,45.89715298,5118.282212,-16.70544439
8005x8049,Asymptomatic,CC(012x038)/F1,Functional+Functional,0,0,24.85465212,4.752431774,2.109807157,0.803665088,5.546839235,4.780196329
8010x16441,Asymptomatic,CC(013x041)/F1,Null+Functional,0,0,52.03223552,1.953416521,1.346922198,1.452293715,1.016539724,4.80349345
8016x8004,Asymptomatic,CC(028x024)/F1,Functional+Null,0,0,62.42277991,4.913590109,2.255148167,8.913553983,2817.544061,2.633647799
8021x8033,Symptomatic,CC(043x033)/F1,Null+Null,0,0,42.75437393,4.165690962,0.749413133,11.28151919,338.614669,-1.798983183
8024x8048,Symptomatic,CC(016x061)/F1,Null+Null,0,0,50.4226461,4.86089804,,84.95733526,,
8024x8049,Symptomatic,CC(016x038)/F1,Null+Functional,0,0,464.9002286,39.28752323,12.56301247,143.8855063,243.2750188,-8.587533156
8027x477,Symptomatic,CC(027x036)/F1,Null+Null,0,0,243.0315258,22.3899263,,1988.012255,,
8033x16768,Symptomatic,CC(033x068)/F1,Null+Null,0,0,5.070663475,5.912911273,0.590570406,0.94489257,1.319711101,-0.160449258
8033x5346,Asymptomatic,CC(033x046)/F1,Null+Functional,0,0,10.88883418,4.23654527,1.496346198,0.904170406,1.179629328,2.647412756
8034x8043,Asymptomatic,CC(030x023)/F1,Functional+Null,0,0,22.69723666,1.542804944,1.499577134,2.591881776,1.340299576,0.94055681
8034x8048,Asymptomatic,CC(030x061)/F1,Functional+Null,0,0,257.027185,24.28137189,1.638577468,34.80498814,4.548669184,9.46000812
8036x15489,Asymptomatic,CC(008x009)/F1,Functional+Null,0,0,27.75909449,1.398615974,2.657576684,0.620857217,0.594008509,
8036x18018,Asymptomatic,CC(008x010)/F1,Functional+Null,0,0,5.552400684,2.271009125,1.100463524,0.786519991,1.030333039,4.591513616
8036x3609,Asymptomatic,CC(008x018)/F1,Functional+Null,0,0,6.047942602,8.589389494,0.481037787,0.887423837,8.483735432,2.858809802
8043x8008,Symptomatic,CC(023x025)/F1,Null+Functional,0,0,202.4687435,1.659533486,1.226979664,87.77062188,23.68296281,8.740359897
8045x4410,Symptomatic,CC(045x044)/F1,Null+Null,0,0,109.2970477,58.40871402,2.644713524,7.758500839,142.041275,-7.129798903
8046x4410,Asymptomatic,CC(022x044)/F1,Functional+Null,0,0,32.4484248,0.885622529,0.565470022,1.336588892,1.052874752,
8046x8004,Asymptomatic,CC(022x024)/F1,Functional+Null,0,0,123.0698828,11.79052549,0.773424876,0.762659694,2.005552469,3.485148515
8048x8008,Asymptomatic,CC(061x025)/F1,Null+Functional,0,0,100.5738236,1.71964535,1.224430663,10.71414003,2.405864805,10.74346405
8048x8026,Symptomatic,CC(061x026)/F1,Null+Functional,0,0,11.89266279,238.819614,4.392710064,0.695548077,8609.878311,7.670221493
8049x8010,Symptomatic,CC(038x013)/F1,Functional+Null,0,0,85.41002532,1.984350615,1.809036923,8.775953868,122.0034274,7.549395459
8052x13421,Symptomatic,CC(052x007)/F1,Null+Null,0,0,21.66725164,3.087035742,22.64661734,9.940602522,236021.0293,-15.2
8054x8036,Asymptomatic,CC(020x008)/F1,Null+Functional,0,2,57.31246646,4.219288906,1.37978575,2.832350384,13.54583964,14.45404556
8056x8033,Symptomatic,CC(056x033)/F1,Null+Null,0,0,41.56921288,9.900107938,2.590683484,37.9902115,16647.28927,-16.9469599
